08-29 11:13:26.242  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(56.73,461.33) face=0.00 camY=0.00 camP=-0.00 extra=0.90
08-29 11:13:26.754  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(36.06,440.67) face=0.00 camY=0.00 camP=-0.00 extra=2.15
08-29 11:13:27.264  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(16.07,420.67) face=0.00 camY=0.00 camP=-0.00 extra=2.20
08-29 11:13:27.981  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=-0.00 extra=1.37
08-29 11:13:28.492  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=-0.00 extra=0.49
08-29 11:13:29.003  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.17
08-29 11:13:29.514  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.06
08-29 11:13:30.025  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.02
08-29 11:13:30.537  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.01
08-29 11:13:31.047  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:31.559  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:32.069  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:32.581  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:33.092  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:33.603  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:34.114  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:34.626  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:35.136  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:36.047  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:36.558  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:37.070  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:37.580  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:38.091  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:38.603  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:39.114  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:39.624  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:40.136  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:40.647  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:41.158  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:41.669  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:42.180  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:42.691  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:43.202  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:43.714  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:44.224  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:44.735  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:45.247  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:45.758  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
08-29 11:13:46.269  2628  2647 I godot   : TEL stick=(0.00,0.00) vel=(0.00,0.00) face=0.00 camY=0.00 camP=0.00 extra=0.00
